ensembl_gene_id	mmusculus_homolog_ensembl_gene	dmelanogaster_homolog_ensembl_gene	scerevisiae_homolog_ensembl_gene
ENSG00000228037			
ENSG00000142611	ENSMUSG00000039410		
ENSG00000284616			
ENSG00000157911	ENSMUSG00000029047	FBgn0035233	YDR265W
ENSG00000260972			
ENSG00000224340			
ENSG00000226374			
ENSG00000229280			
ENSG00000142655	ENSMUSG00000028975	FBgn0037020	YGL153W
ENSG00000232596			
ENSG00000235054			
ENSG00000231510			
ENSG00000149527	ENSMUSG00000029055	FBgn0003416	YPL268W
ENSG00000149527	ENSMUSG00000029055	FBgn0004611	YPL268W
ENSG00000284739			
ENSG00000171621	ENSMUSG00000039911	FBgn0026238	
ENSG00000272235			
ENSG00000284694			
ENSG00000224387			
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YJR160C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDL247W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YBR298C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YGR289C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDL194W
